EX_Id,GA_Id,DisplayOrder,Type,Name,Path,EA,Data
9549,3543,7,0,"Advert","Adverts\O\Ocean01k.jpg ",0,""
9550,3544,8,0,"Advert","Adverts\G\Gremlin_Star_Games3.jpg ",0,""
9551,3545,4,0,"Advert","Adverts\S\SSI_AD&D3.jpg ",0,""
9552,3545,5,0,"Advert","Adverts\S\SSI_AD&D5.jpg ",0,""
9553,3545,6,0,"Advert","Adverts\U\USGold37b.jpg ",0,""
9554,3545,7,0,"Advert","Adverts\U\USGold37c.jpg ",0,""
9555,3545,8,0,"Advert","Adverts\U\USGold37d.jpg ",0,""
9556,3557,6,0,"Advert","Adverts\B\BeauJolly_Tolkein_Triology.jpg ",0,""
9557,3557,7,0,"Advert","Adverts\M\Melbourne_House_Lord_of_the_Rings3.jpg ",0,""
9558,3557,8,0,"Advert","Adverts\M\Melbourne_House1.jpg ",0,""
9559,3557,9,0,"Advert","Adverts\M\Melbourne_House2a.jpg ",0,""
9560,3557,10,0,"Advert","Adverts\M\Melbourne_House2b.jpg ",0,""
9561,3557,11,0,"Advert","Adverts\M\Melbourne_House2c.jpg ",0,""
9562,3557,12,0,"Advert","Adverts\M\Melbourne_House4.jpg ",0,""
9563,3557,13,0,"Advert","Adverts\M\Melbourne_House5a.jpg ",0,""
9564,3557,14,0,"Advert","Adverts\M\Melbourne_House5b.jpg ",0,""
9565,3561,1,0,"Advert","Adverts\Q\Quicksilva_Hocus_Focus1.jpg ",0,""
9566,3561,2,0,"Advert","Adverts\Q\Quicksilva_Hocus_Focus2.jpg ",0,""
9567,3570,3,0,"Advert","Adverts\D\Diamond_Hollywood_Poker.jpg ",0,""
9568,3570,4,0,"Advert","Adverts\D\Diamond1.jpg ",0,""
9569,3570,5,0,"Advert","Adverts\D\Diamond2.jpg ",0,""
9570,3575,4,0,"Advert","Adverts\H\HiTec1.jpg ",0,""
9571,3577,1,0,"Advert","Adverts\O\Ocean_Hook.jpg ",0,""
9572,3580,0,0,"Advert","Adverts\C\Calisto_Software.jpg ",0,""
9573,3584,2,0,"Advert","Adverts\R\Radarsoft.jpg ",0,""
9574,3588,3,0,"Advert","Adverts\E\Elite_Hopping_Mad.jpg ",0,""
9575,3588,4,0,"Advert","Adverts\E\Encore5.jpg ",0,""
9576,3591,2,0,"Advert","Adverts\M\Melbourne_House1.jpg ",0,""
9577,3591,3,0,"Advert","Adverts\M\Melbourne_House2a.jpg ",0,""
9578,3591,4,0,"Advert","Adverts\M\Melbourne_House2b.jpg ",0,""
9579,3597,6,0,"Advert","Adverts\I\Infogrames_Hostages1.jpg ",0,""
9580,3597,7,0,"Advert","Adverts\I\Infogrames_Hostages2.jpg ",0,""
9581,3602,2,0,"Advert","Adverts\E\Epyx01.jpg ",0,""
9582,3612,3,0,"Advert","Adverts\A\Addictive_Hot_Shot.jpg ",0,""
9583,3612,4,0,"Advert","Adverts\A\Addictive5.jpg ",0,""
9584,3615,2,0,"Advert","Adverts\A\Anirog_House_of_Usher.jpg ",0,""
9585,3615,3,0,"Advert","Adverts\A\Anirog08.jpg ",0,""
9586,3615,4,0,"Advert","Adverts\A\Anirog14.jpg ",0,""
9587,3621,9,0,"Advert","Adverts\L\Llamasoft_Hover_Bovver.jpg ",0,""
9588,3621,10,0,"Advert","Adverts\L\Llamasoft04a.jpg ",0,""
9589,3621,11,0,"Advert","Adverts\L\Llamasoft04b.jpg ",0,""
9590,3621,12,0,"Advert","Adverts\L\Llamasoft08.jpg ",0,""
9591,3624,2,0,"Advert","Adverts\V\Virgin_Games_Complete_Bastard.jpg ",0,""
9592,3625,3,0,"Advert","Adverts\A\Activision_Howard_the_Duck1.jpg ",0,""
9593,3625,4,0,"Advert","Adverts\A\Activision_Howard_the_Duck2.jpg ",0,""
9594,3627,4,0,"Advert","Adverts\H\HitSquad_The_Best_in_Budget_Action.jpg ",0,""
9595,3627,5,0,"Advert","Adverts\O\Ocean_Hudson_Hawk1.jpg ",0,""
9596,3627,6,0,"Advert","Adverts\O\Ocean_Hudson_Hawk2.jpg ",0,""
9597,3628,2,0,"Advert","Adverts\U\USGold_HKM.jpg ",0,""
9598,3634,2,0,"Advert","Adverts\M\Mr_Micro.jpg ",0,""
9599,3635,1,0,"Advert","Adverts\A\Artic_Humpty.jpg ",0,""
9600,3635,2,0,"Advert","Adverts\A\Artic3.jpg ",0,""
9601,3636,2,0,"Advert","Adverts\A\Artic_Humpty.jpg ",0,""
9602,3636,3,0,"Advert","Adverts\A\Artic3.jpg ",0,""
9603,3637,4,0,"Advert","Adverts\O\Ocean_Hunckback1.jpg ",0,""
9604,3637,5,0,"Advert","Adverts\O\Ocean01b.jpg ",0,""
9605,3637,6,0,"Advert","Adverts\O\Ocean01c.jpg ",0,""
9606,3637,7,0,"Advert","Adverts\O\Ocean01d.jpg ",0,""
9607,3637,8,0,"Advert","Adverts\O\Ocean01e.jpg ",0,""
9608,3637,9,0,"Advert","Adverts\O\Ocean01f.jpg ",0,""
9609,3637,10,0,"Advert","Adverts\O\Ocean01g.jpg ",0,""
9610,3637,11,0,"Advert","Adverts\O\Ocean01h.jpg ",0,""
9611,3637,12,0,"Advert","Adverts\O\Ocean01i.jpg ",0,""
9612,3638,1,0,"Advert","Adverts\O\Ocean_Hunckback_Adventure.jpg ",0,""
